"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
35,UGC12894,0.0938,39.4955,112.3102,-22.3207,7.54,335,618,0.00,0,35,591,1,335,618,10.276,,6.90,-3.47,2.86
38,UGC12893,0.1188,17.2203,105.9151,-43.9611,8.44,1108,1338,0.00,0,38,38,1,1108,1338,10.724,,10.95,-13.05,5.30
43,ESO293-027,0.1229,-40.4844,337.9255,-72.9984,9.79,3181,3147,0.00,0,43,43,1,3181,3147,11.484,,-11.49,-40.36,-0.14
143,WLM,0.4926,-15.4609,75.8635,-73.6245,7.71,-122,-29,0.96,5,143,2557,1,-122,-29,10.362,,0.13,-0.94,0.14
156,IC5377,0.5224,16.5903,106.1972,-44.6719,8.63,1050,1278,0.00,0,218,218,6,964,1188,12.498,12.272,6.06,-7.36,2.87
171,UGC12921,0.5877,77.2569,120.1543,14.6507,10.36,2419,2695,0.00,0,171,171,1,2419,2695,11.950,,33.21,7.90,11.23
181,ESO012-014,0.6766,-80.3482,305.4559,-36.5399,8.92,1956,1741,12.13,25,181,181,1,1956,1741,10.963,,-9.54,-6.96,-2.79
187,ESO149-013,0.6945,-52.7716,319.1268,-62.7997,8.46,1443,1346,0.00,0,187,187,1,1443,1346,10.737,,-8.20,-15.89,-1.51
218,NGC7814,0.8121,16.1456,106.4089,-45.1746,10.84,1059,1284,14.45,10,218,218,6,964,1188,12.498,12.272,8.73,-10.76,4.08
255,UGC00017,0.9302,15.2182,106.2149,-46.0989,8.69,879,1101,19.41,14,218,218,6,964,1188,12.498,12.272,11.52,-14.67,5.38
268,PGC000268,0.9672,30.2786,110.8875,-31.4781,9.65,2936,3201,0.00,0,268,268,1,2936,3201,11.384,,32.58,-23.94,13.68
279,NGC7817,0.9952,20.7523,108.2283,-40.7605,10.99,2309,2548,29.38,14,279,279,2,2242,2481,12.646,11.487,19.43,-20.26,8.66
285,PGC000285,1.0263,-57.3926,315.1758,-58.5962,9.09,1889,1770,0.00,0,285,285,1,1889,1770,11.053,,-12.29,-19.97,-2.69
305,UGC00027,1.1200,5.8472,102.2018,-55.1233,9.70,3114,3301,44.46,18,305,307,1,3114,3301,11.418,,20.78,-37.87,10.54
307,NGC7820,1.1283,5.2002,101.8517,-55.7391,10.72,3053,3237,0.00,0,307,307,1,3053,3237,12.338,,19.77,-37.01,10.10
332,UGC00031,1.2172,17.1921,107.3154,-44.2630,8.78,1034,1262,0.00,0,218,218,6,964,1188,12.498,12.272,6.16,-7.29,2.78
365,UGC00035,1.2885,6.2596,102.7037,-54.7842,8.87,3108,3296,0.00,0,365,307,1,3108,3296,10.940,,20.84,-37.27,10.37
388,ESO409-015,1.3830,-28.0983,24.8340,-79.7884,7.54,726,753,8.71,9,388,388,1,726,753,10.274,,-0.59,-8.68,0.47
414,ESO538-021,1.4418,-22.0774,56.4089,-78.4629,9.04,3148,3206,0.00,0,134641,134641,2,3114,3172,11.301,11.365,1.33,-42.15,3.75
446,PGC000446,1.5108,27.3489,110.6960,-34.4420,8.91,3181,3438,0.00,0,446,660,1,3181,3438,10.962,,33.78,-27.64,14.01
474,ESO293-034,1.5828,-41.5000,332.8212,-72.9086,10.06,1512,1470,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.45,-18.44,-0.53
482,PGC000482,1.6058,-41.5066,332.7606,-72.9134,8.81,1428,1386,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.42,-18.34,-0.53
496,UGC00047,1.6591,17.2841,107.9183,-44.2777,7.90,873,1100,0.00,0,496,889,1,873,1100,10.455,,9.14,-10.75,4.00
522,ESO293-035,1.7149,-41.8398,331.8781,-72.6908,8.09,1552,1509,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.56,-18.46,-0.60
544,PGC000544,1.7199,-41.4249,332.6895,-73.0298,7.74,1435,1394,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.39,-18.36,-0.55
562,ESO149-018,1.8102,-52.6199,317.8900,-63.2058,8.59,1825,1728,0.00,0,562,562,1,1825,1728,10.801,,-10.39,-20.45,-2.17
591,UGC00064,1.9337,40.8759,114.0867,-21.2440,7.98,305,588,0.00,0,591,591,1,305,588,10.496,,6.71,-3.14,2.56
598,UGC00063,1.9617,35.9661,113.1235,-26.0740,8.18,439,714,0.00,0,598,598,1,439,714,10.595,,7.80,-4.55,3.03
621,ESO349-031,2.0564,-34.5787,351.4759,-78.1170,7.02,221,214,3.21,9,621,2789,1,221,214,10.017,,-0.55,-3.16,0.02
627,NGC0007,2.0869,-29.9153,13.9928,-80.1378,8.81,1518,1535,19.14,14,627,1851,1,1518,1535,10.908,,-1.81,-19.04,0.65
647,NGC0014,2.1928,15.8164,108.1252,-45.8251,9.36,865,1086,5.73,18,218,218,6,964,1188,12.498,12.272,5.90,-7.28,2.52
660,NGC0016,2.2679,27.7294,111.5861,-34.2072,11.08,3100,3356,0.00,0,660,660,1,3100,3356,12.746,,33.32,-26.78,13.23
695,IC1532,2.4696,-64.3716,310.2378,-52.1630,9.27,1830,1678,34.83,18,695,1952,1,1830,1678,11.149,,-21.20,-27.05,-5.66
697,PGC000697,2.4711,15.7348,108.4718,-45.9670,7.94,897,1117,0.00,0,218,218,6,964,1188,12.498,12.272,5.93,-7.32,2.48
701,NGC0024,2.4848,-24.9638,43.6860,-80.4343,9.41,545,586,7.87,8,701,701,1,545,586,11.236,,-0.08,-7.86,0.44
703,UGC00090,2.5074,16.9403,108.9117,-44.8012,7.50,908,1133,0.00,0,703,889,1,908,1133,10.255,,9.42,-11.14,3.90
721,ESO538-024,2.5746,-18.2650,73.8803,-77.0278,8.70,1546,1620,0.00,0,721,721,1,1546,1620,10.856,,2.16,-21.40,2.00
757,UGC00099,2.6698,13.7094,108.0540,-47.9814,9.36,1742,1955,0.00,0,757,757,1,1742,1955,11.204,,15.21,-20.19,6.36
800,ESO293-045,2.8535,-41.3983,330.3084,-73.5344,8.85,1462,1419,0.00,0,800,474,1,1462,1419,10.928,,-5.23,-18.17,-0.80
809,ESO349-039,2.9032,-36.9363,341.0966,-77.0768,9.01,1985,1964,0.00,0,809,809,1,1985,1964,11.013,,-5.36,-25.63,-0.47
824,PGC000824,2.9575,-27.3671,29.1101,-81.1959,8.56,2995,3023,0.00,0,824,198756,1,2995,3023,10.787,,-1.94,-40.23,1.44
878,UGC00119,3.2630,14.4094,109.1231,-47.4305,9.59,2023,2237,0.00,0,878,878,2,2020,2235,11.356,6.666,17.76,-22.87,7.07
889,UGC00122,3.3236,17.0293,110.0136,-44.8835,8.55,854,1077,0.00,0,889,889,1,854,1077,10.782,,9.04,-10.59,3.53
924,UGC00132,3.5031,12.9639,108.9883,-48.8920,8.98,1680,1889,20.32,25,924,924,2,1687,1896,11.029,9.442,11.75,-15.91,4.62
929,NGC0048,3.5093,48.2349,116.5236,-14.1709,9.99,1776,2064,0.00,0,929,929,1,1776,2064,11.626,,24.94,-7.74,8.70
