       ID,grpID, flag ,       ra ,      dec ,   MagK ,     Ks ,    logK ,  Vls ,  dist , mDist , R_theta , sigmaP_dyn , sigmaP_lum ,Mv_dyn,Mv_lum,Rg_angular,Rg_dyn,R2t_dyn,R2t_lum,r2t_lum,tX_dyn,tX_lum,No_Galaxies,nest
901001421 ,    -1 ,    2 ,  59.1301 , -36.0580 , -27.82 ,   2.71 , 12.4384 ,  877 , 12.71 , 12.71 , 0.11683 ,      310.5 ,      467.1 , 8.26e+13 , 2.04e+14 ,      1.485 ,  0.938 ,   1.146 ,   1.265 ,   1.550 , 9.27e+16 , 6.80e+16 ,          61 , 1001421
  1001421 ,    25 ,    1 ,  59.4018 , -35.1729 , -26.89 ,   3.57 , 12.0691 ,  924 , 12.38 , 12.71 , 0.00000 ,      310.5 ,      337.2 , 0.00e+00 , 7.67e+13 ,      0.000 ,  0.000 ,   0.000 ,   0.913 ,   1.119 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001422 ,    25 ,    1 ,  56.6105 , -39.1530 , -25.65 ,   4.97 , 11.5727 ,  527 , 13.34 , 12.71 , 0.00000 ,      310.5 ,      217.6 , 0.00e+00 , 2.06e+13 ,      0.000 ,  0.000 ,   0.000 ,   0.589 ,   0.722 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001423 ,    25 ,    1 ,  60.1580 , -35.7785 , -25.43 ,   5.16 , 11.4848 ,  786 , 13.13 , 12.71 , 0.00000 ,      310.5 ,      201.3 , 0.00e+00 , 1.63e+13 ,      0.000 ,  0.000 ,   0.000 ,   0.545 ,   0.668 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1013438 , 16755 ,    1 ,  54.1609 , -33.6251 , -21.11 ,   6.32 ,  9.7559 ,  443 ,  3.07 , 12.71 , 0.00000 ,      310.5 ,       52.3 , 0.00e+00 , 2.87e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.142 ,   0.174 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001426 ,    25 ,    1 ,  59.3573 , -34.9551 , -24.06 ,   6.40 , 10.9363 , 1129 , 12.35 , 12.71 , 0.00000 ,      310.5 ,      124.1 , 0.00e+00 , 3.82e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.336 ,   0.412 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001427 ,    25 ,    1 ,  59.2846 , -34.5948 , -23.96 ,   6.49 , 10.8975 ,  671 , 12.32 , 12.71 , 0.00000 ,      310.5 ,      119.9 , 0.00e+00 , 3.45e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.325 ,   0.398 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001425 ,    25 ,    1 ,  59.4879 , -35.8171 , -23.88 ,   6.50 , 10.8647 ,  946 , 11.90 , 12.71 , 0.00000 ,      310.5 ,      116.5 , 0.00e+00 , 3.16e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.315 ,   0.386 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001424 ,    25 ,    1 ,  61.2656 , -34.8174 , -23.67 ,   6.79 , 10.7815 , 1244 , 12.37 , 12.71 , 0.00000 ,      310.5 ,      108.2 , 0.00e+00 , 2.53e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.293 ,   0.359 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
  1001428 ,    25 ,    1 ,  63.4351 , -35.4091 , -23.52 ,   6.98 , 10.7190 , 1247 , 12.60 , 12.71 , 0.00000 ,      310.5 ,      102.4 , 0.00e+00 , 2.15e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.277 ,   0.340 , 0.00e+00 , 6.80e+16 ,          61 , 1001421
